525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
23785,2362,23383,3007,100168,5101,176438,4700
23963,1642,23409,1467,118421,4781,151689,4670
23887,2563,23400,3024,149586,6235,202509,5263
23963,2542,23609,4982,150218,5289,201699,4828
24591,1615,23677,2235,153033,4679,197161,4120
24650,2034,23626,3484,153161,5481,200065,5105
24416,2605,23682,4670,151054,5494,205351,5160
24433,1962,23836,2644,153911,4738,203004,4294
24236,1706,23597,2512,153604,5058,205717,4823
24058,2716,23802,3543,150525,5642,201861,5545
23984,2226,23631,4235,153972,4908,200816,4675
24109,1569,23720,2328,154040,4785,137916,4567
23984,2503,23512,3322,153165,5481,199276,5412
23703,2495,23353,3873,151271,4986,170573,4785
24287,1782,23827,2110,93425,4533,142151,4158
23950,2047,23472,1445,150098,5668,181122,5314
23925,2712,23370,3382,149249,5706,187299,5267
24075,1996,23455,2648,138252,5071,154201,4550
24113,1646,23396,1373,143448,5130,162827,4832
23853,2686,23426,4120,153301,5357,183651,5651
23187,2243,23495,5221,152099,4931,200786,4576
24335,1594,23699,2482,153191,4658,199605,4516
24621,2400,23660,2290,150946,5450,204135,5446
24283,2465,23643,3173,153579,5195,205376,4926
24369,1680,23652,2320,154291,4589,183191,4026
24083,1966,23699,2699,152260,5553,205023,5173
23916,2742,23789,5357,152440,5655,201832,5314
24010,1966,23716,1321,153071,5011,196747,4495
24164,1769,23609,2443,154351,4717,199528,4806
23711,2648,23631,4150,133658,5625,201499,5642
23550,2264,23592,3595,152158,5272,180584,4679
23865,1672,23524,1778,110995,4627,168594,4546
23887,2605,23311,3224,151335,5477,194597,5386
23874,2644,23409,3881,149010,4158,186616,4914
23921,1786,23533,2149,132473,4738,129631,4021
23728,2153,23520,2281,151071,5826,198253,5242
23648,2738,23417,4521,150243,5676,201993,5135
24530,2042,23759,2785,153289,4687,197980,4436
24556,1564,23699,1552,151463,5033,198662,4914
24206,2550,23751,2567,153642,5489,202458,5536
23972,2298,23639,3638,152593,4999,201781,4709
24134,1646,23728,1433,132596,4555,192277,4601
23904,2422,23656,2580,153805,5775,202591,5412
23720,2503,23409,2512,134571,5310,198202,4900
24032,1820,23720,1680,150571,4593,186296,4235
23643,2051,23694,2951,146647,5536,202219,5079
23831,2665,23546,3390,142944,5523,201303,5267
23899,2144,23584,2170,150917,5016,172032,4683
24138,1655,23460,2192,143947,5084,168683,4896
24032,2699,23383,3266,151924,5792,184287,5566
23921,2311,23728,3270,151126,5284,164482,4828
23929,1820,23421,2161,129747,4692,202804,4555
24100,2413,23597,3953,150482,5733,204357,5310
24160,2588,23768,4337,152167,5468,198475,5071
24206,1786,23768,1859,134797,4709,196393,4231
24096,1923,23563,1765,153212,5327,185617,5164
23929,2635,23396,3232,153403,5596,204442,5301
24058,2192,23648,1573,118976,4721,169076,4555
24014,1581,23618,2716,106396,5024,172198,4700
23759,2648,23541,3953,152410,5437,193864,5297
23724,2417,23482,2157,150388,5177,175892,4772
24236,1689,23550,2123,152973,4550,202748,4419
24612,2443,23699,2610,150844,5613,199955,5318
24604,2605,23699,2759,150951,5229,203866,5101
24672,1752,23711,1846,153199,4606,164460,4231
24394,2000,23558,2832,154283,5238,202130,4994
24305,2580,23699,3314,150690,5702,201520,5216
24407,1893,23823,1373,151532,4747,197933,4423
24287,1496,23793,2166,154406,4986,202787,4666
23993,2631,23656,4133,151634,5723,204471,5403
24032,2328,23780,2605,152806,5212,204011,4811
24151,1581,23665,2465,138142,4529,201008,4436
24223,2533,23575,2013,151979,5685,204429,5433
23810,2678,23626,4645,152914,5433,204122,5105
23938,1765,23550,2938,137370,4806,155485,4235
23963,1962,23451,3531,105906,5425,204750,5156
23810,2703,23605,3344,152069,5830,200778,5352
24062,2085,23656,1236,147363,4743,162720,4618
23959,1479,23455,2989,148887,5276,173461,4870
23904,2724,23336,3953,150772,5775,181450,5613
23785,2277,23468,2997,149923,5173,101197,4874
23950,1731,23541,1475,152845,4679,160446,4516
23899,2469,23302,3433,151890,5775,182858,5604
23806,2764,23451,3600,152214,5536,169554,5126
24194,1803,23724,3284,152294,4887,204016,4146
24655,1970,23652,1445,153153,5191,200697,5229
24638,2724,23763,3868,150435,5562,200492,5369
24714,2068,23755,1919,153323,4751,197075,4376
24731,1437,23737,1147,153426,5003,200897,4764
24454,2686,23677,3228,153703,5506,201281,5412
24092,2328,23677,2486,153801,5011,205278,4709
24155,1556,23751,2486,152175,4645,190216,4491
24109,2290,23584,3253,153007,5668,201341,5494
23887,2751,23703,3262,151390,5403,184074,4904
23959,1731,23486,2747,152359,4794,165207,4303
24121,2013,23482,1556,131624,5233,186066,5195
23802,2823,23499,2972,150597,5693,194332,5403
23891,2110,23533,2785,142462,3753,204775,4380
24104,1547,23660,2119,153122,4918,204250,4649
24121,2554,23673,4806,153472,5515,204477,5348
23972,2281,23690,3083,153932,5225,205495,4683
24155,1539,23656,1953,153664,4755,190787,4414
24036,2196,23609,2375,153758,5719,203794,5498
23916,2734,23768,4333,153693,5382,202672,5156
23857,1731,23703,1911,152252,4857,140816,4324
23870,2017,23413,1492,151327,5058,193168,5225
23819,2751,23472,5238,136244,5570,195015,5596
23656,2089,23618,1300,154338,4397,199822,4448
23772,1581,23635,1433,153750,4883,192353,4802
23703,2815,23387,4311,151083,5928,198568,5570
23899,2491,23482,3241,145807,5195,165476,4845
24096,1667,23478,1245,124133,3706,150184,4495
23793,2379,23336,2832,150243,5898,196043,5621
23728,2789,23464,4610,150631,5450,203038,4896
24450,1701,23745,1121,152755,4726,171929,4282
24309,1833,23597,2218,154491,5122,198475,5135
24053,2695,23643,3634,152897,5369,201085,5352
24014,2017,23690,1160,151276,4982,178750,4389
24079,1573,23417,1240,152990,4883,201686,4721
23831,2576,23434,3902,153178,5191,195633,5391
23955,2469,23823,3032,153225,5135,165637,4704
23857,1632,23472,1484,114395,4504,193032,4627
23605,2213,23609,4538,151168,5723,201123,5442
23694,2622,23472,4064,150912,5519,191180,5139
24018,1932,23499,1543,139446,4819,149953,4431
23929,1863,23478,2652,134422,5033,183280,5335
23707,2815,23396,3693,149949,5681,201798,5280
24083,2136,23720,2486,152103,4832,192588,4372
24087,1547,23618,1530,153762,4862,189752,4618
24006,2503,23537,3382,153681,5672,203085,5536
23857,2341,23728,2751,151020,5365,193816,4653
24041,1727,23563,2076,104524,4641,183481,4316
23984,2081,23404,3348,147052,5481,204084,5403
23959,2793,23699,3488,151949,5403,166257,4994
24014,1825,23417,2332,152163,4747,138696,4154
23537,1833,22846,3412,150713,5369,185388,5208
23776,2682,23366,4419,150934,5886,193744,5348
23984,2243,23341,2085,145862,4990,157951,4666
24036,1518,23400,1672,129934,4760,167207,4789
23789,2631,23366,4214,154283,4402,201072,5485
23785,2447,23533,4550,153536,5250,193710,4743
24219,1701,23622,2503,136777,4563,163010,4282
24100,2081,23601,3236,153642,5659,203538,5391
23984,2593,23694,3407,153625,5221,204796,5003
24010,1795,23759,1693,144156,4768,190455,4307
23870,1880,23643,2567,146920,5130,202454,5246
23810,2631,23660,4328,152051,5758,202475,5314
23741,2324,23558,2098,136750,4601,146647,4372
23967,1628,23404,2904,153118,4931,168867,4781
23819,2644,23512,4030,151958,5843,199417,5502
23857,2546,23443,1936,151587,5416,165923,4836
24079,1820,23537,1957,122926,4107,152751,4307
24287,2157,23639,3122,153634,5540,197851,5506
24070,2580,23584,2929,152960,5481,204395,5071
24053,1761,23622,1842,153890,4649,155951,4354
24024,1905,23400,1373,109711,5225,187158,5327
23733,2703,23417,4055,151719,5928,176604,5446
24130,2286,23751,2055,152721,4277,170475,4487
24010,1672,23499,2290,114855,4789,173423,4879
23763,2622,23417,3424,151536,5719,199826,5425
23899,2516,23486,3024,147257,5323,180341,4879
23980,1638,23571,2157,127230,3177,161769,4362
23759,2196,23336,2461,151471,5754,195160,5335
24198,2682,23682,4960,150311,5357,202552,4999
24441,1769,23882,1155,154649,4525,189683,4239
24168,1854,23626,2478,152880,5126,204860,5109
24160,2768,23537,2631,152952,5625,205201,5446
24109,2184,23814,1130,152922,5016,199443,4550
24185,1479,23755,2081,137791,4965,179897,4785
23882,2639,23345,5536,153130,5788,183719,5519
23797,2443,23486,2793,122056,4760,205662,4904
24024,1812,23652,1983,136841,4849,155331,4290
24010,2188,23447,3804,152576,5805,189162,5523
23891,2707,23507,3885,153898,4645,183651,5263
23942,1966,23605,2912,140347,4794,156662,4358
23989,2076,23413,2469,135459,5306,167762,5323
23814,2759,23597,3651,150700,5689,201631,5365
24552,2400,23728,1748,153361,4948,203457,4504
