525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
23004,1632,17070,844,141592,4163,140428,4273
23017,2478,17091,4635,141230,5126,140014,4994
23034,2639,17203,4290,141537,4977,139984,4717
23148,1769,17224,2358,141776,4214,140424,3799
23131,1949,17104,1253,141460,5088,140295,4918
22987,2802,17189,3774,141656,5096,140543,4738
23063,1880,17130,2093,141869,4436,140138,4103
23059,1650,17087,1518,141687,4635,139975,4397
22875,2695,17168,2972,141038,5327,139349,5225
22833,2379,16955,2025,141209,4623,141021,4260
23281,1607,17185,3079,142313,4009,141021,4239
23205,2622,17040,4055,142015,5267,140356,5187
22983,2648,17079,2144,142087,4324,139554,4679
22884,1569,16960,550,141695,4328,138883,4009
22688,2106,16835,921,140718,5416,138969,5062
22607,2734,16934,3549,139920,5352,138644,4777
22718,1854,16981,2021,141294,4618,139617,4269
22778,1676,16878,2584,140811,4679,140163,4508
22875,2627,17066,4209,141541,5169,140265,5156
22970,2196,17100,2695,142164,4572,140322,4465
23119,1577,17087,1650,142373,4311,140308,4231
23051,2537,17015,2866,141345,5221,139818,4904
22932,2648,17237,3416,141439,4853,140053,4563
23182,1689,17207,2218,141712,4299,140428,3804
23097,1953,17066,882,141823,5216,140074,4760
22867,2742,17108,2955,141408,5301,139719,4751
23004,2021,17121,1347,141431,4465,139707,4290
23140,1808,17091,946,141247,4692,140014,4487
22752,2712,17049,3826,141827,5225,139545,5079
22957,2439,17134,2959,142267,4931,139685,4397
23012,1620,17049,1940,141588,4260,139856,4055
22884,2571,16916,2307,141264,5412,139656,5204
22701,2764,16951,2123,141584,4977,139489,4730
22611,1727,16840,1987,141374,4265,139105,3958
22714,2008,16776,2170,141298,5208,138974,5079
22505,2755,16926,4798,139617,5416,138555,4891
22619,1880,16865,2205,141340,4362,140974,4047
23153,1650,17130,2678,142057,4721,140049,4402
22761,2686,17108,4345,141562,5280,139455,5126
22778,2469,17074,2781,141340,4662,140117,4444
22850,1569,16920,878,141797,4290,139592,4133
22850,2703,16899,4243,141725,5425,139609,5293
22676,2720,16874,2068,141396,4943,139537,4649
22786,1650,16960,2371,140470,4461,138957,3979
22688,2110,16810,4129,141004,5263,139216,4772
22714,2823,17028,4567,141204,5263,138534,5067
22701,2000,16920,2332,141844,4631,139408,4345
22795,1667,16840,1330,141622,4840,139063,4666
22568,2707,16797,3164,141055,5352,138572,5250
22619,2184,16865,2997,141166,4696,138943,4495
22820,1598,16848,421,142510,4299,139545,4235
22752,2320,16891,4721,141033,5267,139762,5092
23029,2682,17045,2798,141541,4922,140078,4666
23131,1581,17100,1023,142062,4205,140248,3706
23051,1850,16964,1628,141746,4857,139784,4891
22824,2682,17074,2819,141439,5212,139724,4986
23004,1884,17066,1594,141622,4273,139178,4316
22991,1522,16916,489,140957,4679,139503,4645
22773,2673,16951,2584,141046,5147,139566,5191
22901,2417,17224,2720,140868,4709,139528,4444
23017,1539,17040,767,142731,4107,139600,4141
22765,2474,16934,2622,141200,5374,139144,4990
22735,2810,16960,2520,141699,4874,138969,4563
22966,1735,17134,3143,141960,4350,140180,3936
23127,1932,16989,963,141452,4931,139144,4914
22710,2819,16895,2554,141255,5399,138661,5169
22671,1970,16869,2008,141340,4641,139524,4419
22628,1458,16857,2174,141055,4593,138542,4465
22530,2520,16797,3475,139971,5361,138576,5233
22602,2443,16895,1905,141516,4760,141255,4635
22488,1594,16725,2004,140538,4141,140244,4077
22932,2345,16972,2712,141414,5028,140043,4931
22884,2520,17070,2451,141869,4772,140236,4516
23209,1829,17019,2451,142100,4197,140070,3924
23097,2008,17049,1270,141818,4990,139920,4738
22983,2874,17164,3228,141452,5263,140172,4840
23119,2072,17207,2499,142070,4482,140278,4072
23110,1620,17125,1330,142233,4709,139963,4333
22884,2703,17108,4192,141528,5216,139664,4931
22957,2286,17100,2929,142015,4649,139698,4320
