525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
18192,1594,16101,3301,69853,5062,76379,4580
18035,2849,16111,4789,92814,5693,93275,5348
17855,2661,15982,4175,69653,5242,87794,4597
17885,1936,15910,1206,52291,4755,57167,4141
17889,2379,15931,1659,76059,5813,81583,5378
17424,2810,16016,4089,111617,5293,121527,4926
17936,1928,16111,1100,77173,4781,74802,4107
18175,2102,15982,2968,76379,5301,93570,5181
18077,2849,16153,4743,92806,5651,98701,5147
18149,2222,16213,3531,71261,5037,72587,4320
18291,1594,16067,2917,67494,5037,74660,4700
17978,2785,16076,4952,87760,5762,102540,5297
17966,2593,16145,2730,80577,5280,86566,4538
18060,1808,16128,2153,58729,4730,56459,4068
17739,2451,15999,4440,81089,5587,93459,5314
17629,2900,15936,3868,75138,5523,82163,4973
17804,1996,15889,895,59436,4853,56007,4077
17718,2098,15851,2140,81900,5357,73202,5276
17369,2870,15982,4256,64312,5408,151676,5177
17804,2315,16021,2256,83934,4857,83503,4214
18166,1655,16042,2457,69874,5084,80590,4567
18103,2730,16059,3992,90443,5698,99836,5293
18124,2516,16124,4704,79608,5259,84186,4482
18217,1825,16115,1351,64291,4584,71128,4307
18183,2508,16111,3518,84493,5779,105160,5416
17961,2904,16183,3310,74328,5464,91671,4802
18128,1966,16089,2106,66496,4862,70485,4038
17915,2076,16046,2601,75031,5246,83443,5071
17731,3011,15970,3826,79954,5651,89799,5041
17710,2371,15897,2123,85098,4845,81396,4209
17851,1706,15940,1433,64657,4931,66517,4542
17620,2776,16059,4610,78368,5988,83149,5306
17364,2639,15885,2720,70928,5152,93582,4461
17915,1901,16111,-385,64978,4666,68786,4034
18077,2413,15991,3096,90921,5706,102716,5352
17855,2840,16012,3970,91108,5386,92564,4948
17991,1940,16008,1966,70267,4870,63019,4034
18077,2106,16111,3612,74618,5318,73641,5130
17659,2810,15940,3386,87316,5737,93946,5169
17663,2269,15974,2034,66432,4879,65319,4192
17791,1782,15828,1509,59082,4973,68091,4649
17701,2768,16046,3399,84152,5587,87713,5310
17343,2447,15974,2443,97728,5147,97819,4529
17838,1803,15876,246,68096,4635,72349,4184
18018,2388,16063,4171,85222,5737,91830,5297
18004,2815,16158,3591,84749,5506,92606,4900
18124,1996,16187,2157,67520,4904,68642,4099
17821,2085,15851,3020,75338,5160,78324,5135
17701,2887,16046,4832,86979,5830,79553,5225
17881,2324,16145,550,77480,4994,71274,4350
17970,1676,16038,3168,63480,5126,62815,4601
17693,2827,16008,3782,83776,6074,93148,5216
17745,2580,15931,4286,73193,5164,76243,4457
17813,1905,15868,1530,55128,4550,57585,4354
17731,2439,15851,2311,78129,5634,107971,5297
17779,2810,16012,4550,75718,5437,77966,4692
17949,1966,16072,2942,56079,4908,55239,4205
17506,2034,15868,3437,68275,5177,102720,5177
17808,2874,16004,3032,97157,5600,109672,5195
18107,2358,16175,1949,74157,4896,74102,4311
18141,1684,16063,3232,69251,5058,65588,4495
18039,2802,16080,4870,87329,5733,100365,5323
17987,2682,16183,2934,79208,5327,83447,4470
18107,1915,16111,1923,56996,4627,53652,4089
17970,2230,16111,4414,71742,6218,81890,5365
17352,2938,16004,4453,80133,5566,86160,5096
17480,2000,15910,426,86228,4687,88998,4064
17944,2038,16080,2030,80351,5191,86097,5096
18012,2844,16141,4499,81942,5719,107050,5079
18077,2366,16128,2144,72561,4887,74741,4252
18209,1765,16158,2738,71158,5020,76171,4662
17983,2857,16145,4402,86655,5784,92158,5365
17753,2631,16107,1240,65899,5369,73150,4576
17872,1932,15940,1501,54390,4410,53703,4146
17718,2379,16063,3305,69166,5945,81400,5523
17603,2900,16016,3122,91305,5293,104204,4952
18098,1974,16093,1710,71397,4755,74021,4089
18162,2017,16063,3168,76243,5208,80573,5143
17995,2802,16046,5105,88793,5754,99696,5255
17966,2375,15987,2119,71538,4990,66223,4397
17919,1782,16004,1710,61437,4922,76469,4478
17779,2772,15927,2823,81409,5621,91616,5327
17783,2605,16021,1829,77932,5403,63984,4666
17599,1888,15978,2038,55150,4631,72366,4294
17808,2286,15914,1957,86911,5681,105663,5263
17932,2874,16046,3710,84791,5540,92268,4840
18086,2051,16141,1867,59675,4931,69336,4239
17872,2098,15974,3441,70032,5238,76076,5139
17770,2900,16033,4470,52355,4914,135108,5297
17745,2512,16038,2371,67942,5007,61108,4393
17497,1863,16183,3202,72561,4908,68970,4721
17578,2832,16021,2243,81631,5737,90306,5276
17654,2673,16004,2188,70813,5369,72259,4580
