525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
52740,1586,25000,767,134686,3890,155388,4580
53345,2844,24953,4333,192609,5596,155115,5446
53785,2610,25004,4738,175999,5323,156048,4879
53870,1884,25110,2315,173640,4406,155771,3987
53810,2311,25051,3966,184483,5498,156463,5540
53464,3066,24953,4555,193019,5425,155570,5284
53546,2034,24991,1185,184402,4891,158173,4320
53750,1949,24885,3522,174771,5301,156910,5011
53627,2827,24974,3723,189154,5587,156138,5617
53281,2320,25038,1936,163586,4977,155618,4478
53161,1638,24843,2042,166576,4862,155746,4721
52979,2798,24680,4368,192281,5617,156031,5489
52649,2610,25068,3266,189359,5433,155818,4960
53119,1945,24966,1611,129337,4478,159631,3970
53004,2277,24812,3757,191688,5498,155405,5433
53093,2955,25038,5263,190353,5191,155481,5135
53123,2064,24889,908,123301,4687,155054,4333
53153,1949,24795,1945,143077,5250,155562,4879
52918,2759,24833,5156,184423,5472,154897,5659
52956,2375,24889,1620,167186,4794,155627,4431
53132,1556,24864,1723,145192,4862,156714,4692
53008,2703,24847,4248,166994,5378,155596,5519
52693,2537,24774,2465,126147,5181,155221,4891
52723,1871,24833,1628,124704,3497,159640,4103
53166,2332,25017,3774,191462,5523,155426,5450
53972,3020,24970,3185,191944,5310,156317,5169
54219,2042,25004,3262,188574,4819,156065,4337
53917,2025,24949,1911,191001,5195,155178,4931
53836,2802,25064,4973,193339,5450,156116,5412
53724,2396,25025,1928,190050,5033,155064,4457
53819,1556,25051,2661,167097,4908,155822,4666
53656,2665,24966,4721,190873,5596,155375,5450
53426,2495,25034,3919,177198,5037,155422,4908
53593,1884,24974,1253,167062,4631,157737,4141
53610,2149,24837,2400,192118,5583,155447,5570
53405,3020,24803,5289,169762,5344,156207,5195
52935,2017,24663,2230,184321,5088,157490,4584
51622,2047,24513,2388,151809,5327,154931,5003
52215,2798,24535,5199,168526,5788,154611,5403
53051,2388,24718,3826,126871,4785,155545,4470
52723,1607,24599,2144,122901,4845,155166,4538
52372,2627,24535,3390,186961,5464,155532,5403
52274,2580,24433,3600,153067,5169,155379,4819
52143,1740,24599,2209,151045,4584,155400,4201
52125,2081,24509,3454,187806,5412,154888,5515
52168,3011,24501,5386,185486,5403,155763,5191
52274,2051,24659,2443,142488,5007,158156,4436
52257,2004,24513,3134,164874,4904,154743,5003
52330,2755,24518,3441,188463,5528,155366,5464
53102,2298,24843,3160,193189,4926,155852,4538
53477,1586,24791,1338,145956,4777,154986,4662
52914,2618,24701,3446,189854,5408,155809,5485
52522,2622,24672,2593,192486,5314,155877,4956
52935,1876,24825,2132,162626,4597,155955,4175
52974,2260,24769,3873,193091,5348,156142,5378
52820,2951,24833,3915,192234,5460,155972,5204
52564,2017,24752,1177,175457,4866,155852,4465
52645,2055,24595,1871,177296,4922,154965,4687
52526,2755,24587,5118,168214,5446,155413,5437
52496,2247,24727,2925,187299,5058,156031,4606
52245,1693,24680,2768,176447,4836,155524,4610
52914,2661,24740,3907,171345,5515,155818,5420
52351,2571,24735,3092,186266,5084,155507,4977
52683,1932,24843,2379,148097,4372,157853,4129
52535,2349,24710,3386,185481,5054,155058,5335
52279,2900,24604,3412,181399,5369,154978,5272
52420,2115,24659,1526,135624,4840,155627,4316
52338,1919,24582,1202,182171,5126,155263,4798
52641,2768,24757,5122,192106,5604,156560,5460
52983,2230,24795,1778,187750,4977,154176,4618
52931,1663,24877,1279,150482,4764,155289,4542
52757,2678,24646,5199,191807,5608,155848,5498
52863,2734,24761,3096,191551,5084,155477,5020
52808,1901,24791,1040,137211,4504,158514,4000
52628,2188,24684,1901,144186,5574,155583,5446
52245,2959,24445,4990,193040,5553,155349,5164
51955,2068,24578,1300,171933,4965,157111,4333
52364,1940,24608,1888,147807,5003,155371,4768
52649,2781,24621,5340,166171,5464,155396,5361
52437,2405,24659,1611,150661,5173,155297,4559
52359,1655,24638,1411,145128,4798,155050,4525
52317,2601,24604,4866,175495,5617,154918,5570
52048,2703,24570,3873,158808,5348,155835,5050
52291,1949,24595,2989,157413,4696,156087,4205
51822,2157,24518,3310,178695,4209,155856,5477
51506,2946,24416,5079,190327,5553,156266,5016
51984,2089,24467,2277,193270,4764,154846,4231
53115,1867,24812,1492,189350,4939,156326,4662
53349,2802,24676,4567,192336,5460,155024,5454
53362,2486,24906,3015,187077,4845,156300,4478
53358,1697,24906,2341,168048,4670,156423,4427
53183,2601,24646,5011,185020,5545,155631,5464
52983,2734,24791,3266,189670,5067,155553,4896
53320,1859,24864,3058,139822,4662,155302,4120
52996,2132,24765,2844,191654,5587,155775,5420
52867,2942,24735,3774,191790,5408,155665,5242
52939,2106,24769,1304,178328,4696,155341,4436
52952,1905,24744,2123,138726,5118,155494,4662
52799,2819,24812,4209,190886,5489,156463,5570
52744,2495,24718,2614,192238,4781,154880,4606
53000,1740,24799,2149,119244,4666,157081,4453
52693,2656,24799,5250,162583,5600,155119,5579
52334,2661,24655,3458,191786,5263,154675,5088
52240,1949,24697,4107,184491,4764,157993,3936
52164,2298,24625,2751,172957,5758,157840,5289
52535,2904,24676,4986,191931,5596,155468,5255
52151,2153,24604,1991,192459,5020,155110,4406
51984,1850,24612,2976,145418,3816,153246,4692
52137,2925,24629,3399,177748,5566,155297,5549
52410,2349,24560,2051,142591,4990,155110,4597
52645,1689,24650,2358,146336,4704,156975,4516
52416,2584,24522,5276,184957,5737,154850,5634
52530,2798,24655,4133,178972,5255,154222,5208
52666,1928,24646,1262,142582,4584,157208,4252
52522,2149,24547,3228,170619,5587,155170,5511
52279,3011,24564,5259,180823,5532,154385,5276
52492,2076,24608,2508,166845,4802,156569,4453
52389,1752,24574,2013,192759,5177,156304,4692
52253,2810,24642,5246,192865,5788,155102,5532
52215,2434,24718,2072,141558,4965,157017,4802
51847,1672,24595,1437,127733,3100,156053,4482
52198,2695,24663,5574,189786,5574,154645,5477
53383,2789,24851,3079,191577,5041,155826,5016
53490,1905,24915,1888,175875,4584,155033,4163
53405,2290,24898,1820,193462,5519,156633,5272
53320,2917,24689,3753,192247,5374,155635,5289
53047,2102,24833,1761,182043,4683,156543,4345
53136,1854,24765,1202,162003,4986,155780,4687
52910,2866,24689,3987,189035,5460,156078,5412
52710,2307,24786,2089,188194,4891,157260,4487
52987,1646,24837,1317,119568,4649,155532,4542
52522,2593,24437,4601,191760,5583,154569,5386
52701,2686,24646,3860,147701,5177,156082,5109
52245,1825,24727,1236,171438,4721,158164,4103
52270,2264,24595,2584,180525,5450,155843,5263
52010,2857,24424,5195,190165,5433,157094,5267
52048,2047,24556,3190,189930,4926,154717,4358
52658,1808,24706,1803,162592,4935,157200,4721
52441,2742,24501,3812,185132,5506,155502,5485
52236,2303,24578,3037,164533,4857,155848,4593
52501,1701,24629,1172,139114,4726,157311,4516
52359,2742,24642,4815,191321,5540,154990,5378
52389,2815,24655,4095,167203,5259,154922,4853
52509,1791,24723,1355,154791,4734,157486,4235
52615,2184,24608,2085,155712,5621,154504,5420
52069,2934,24578,5181,183967,5540,154474,5079
52966,2068,24855,4017,190323,4649,155678,4316
53627,1752,24803,1479,158395,5101,155140,4891
53264,2827,24868,3663,189691,5570,156398,5519
53136,2307,24799,2968,188681,4777,156095,4631
53311,1586,24795,929,143325,4393,156347,4423
52931,2622,24676,4141,193876,5464,155592,5306
