525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
26540,2508,30234,2025,133774,5314,141076,4896
26515,1799,30349,1245,88861,4823,111128,4508
26348,2422,30315,2294,101338,6120,166444,5523
25878,2904,30123,3787,109583,5369,146182,4977
26202,1846,30051,2366,127673,5067,112629,4474
26420,2098,29918,1424,123659,5446,131922,5489
26331,2747,30119,3249,95186,5945,140223,5613
26198,2144,30003,1638,114237,5267,107497,4601
26498,1509,30200,1509,133880,5216,130020,4926
26471,2904,30272,2478,133031,5920,162716,5591
25935,2465,30263,3228,133812,5348,156429,4866
26475,1689,29978,3365,80624,3539,103744,4414
26280,2392,30110,2000,107164,6095,49195,4072
24194,2883,29761,2985,101487,4141,118025,4789
23434,1842,29552,1185,90682,3723,106094,3907
23281,2089,29287,2085,107992,4158,151509,4986
23187,2887,29330,3488,131321,4529,158288,5113
23311,2218,29325,2734,100054,3727,115111,4175
23290,1509,29099,1782,94150,4017,124474,4559
23127,2734,29283,3787,131563,4457,154905,5169
23131,2486,29330,2908,119032,4038,132058,4294
23302,1757,29211,2000,85900,3480,109280,4085
23136,2273,29188,2013,122969,4641,158613,5208
23144,2989,29249,2644,122986,4290,145022,4874
23315,1820,29228,1795,97277,3651,112411,3932
23170,1979,29099,1450,102157,4129,136043,4973
23119,2895,29291,4095,131871,4491,161320,5122
23247,2324,29287,2682,101926,3731,129436,4180
23247,1556,29082,2730,89811,3941,126325,4563
23110,2836,29313,4077,126918,4529,157900,5293
23119,2451,29300,1979,116745,4124,128190,4410
23234,1735,29112,1573,83985,3301,102523,3949
23191,2375,29133,3276,128270,4623,162763,5289
23110,2968,29236,3327,125728,4218,148012,4772
23239,1880,29300,1253,99819,3629,116950,3996
23315,2076,29120,1126,107067,4180,132029,5041
23161,2929,29338,3079,131679,4495,156087,5109
23144,2303,29262,2478,106371,3791,115623,4085
23290,1624,29171,2465,95741,3822,129192,4410
23110,2802,29334,3543,129367,4580,159610,5221
23097,2550,29351,2584,108832,4265,127597,4465
23260,1786,29257,3378,129597,4423,188825,4129
25145,2149,29505,3757,132319,6074,190510,5625
25994,2866,30003,4973,131965,5745,127481,5208
26331,1991,29769,2337,125946,3847,117316,4457
26276,2030,29696,2738,96386,5553,136056,5446
25964,2840,29952,4269,131632,5638,142540,5399
26710,2264,30255,2166,132365,5088,144429,4641
27290,1659,30276,2461,132695,5016,140876,4960
27078,2768,30320,2652,132989,5723,164033,5685
26894,2345,30379,3232,132481,5420,139332,4849
26860,1638,30174,1884,127447,4542,114381,4546
26902,2413,30307,3386,133411,5860,151638,5741
26557,2724,30439,2946,132668,5613,155877,5259
26314,1859,30349,1615,132865,4943,118694,4380
26246,2025,30102,2972,133735,5489,129623,5416
26156,2764,29982,4222,132348,5737,151996,5642
26433,2247,30149,2064,123600,5024,107232,4645
26532,1667,30251,1134,116711,5208,112846,4994
26168,2853,30038,3860,131853,5911,140999,5553
26723,2426,30268,4465,132852,5494,162562,4883
27325,1676,30242,2252,133863,4794,122397,4635
27269,2269,30234,2320,132951,5860,168270,5693
27021,2759,30443,3719,134430,5553,164247,5263
27017,1893,30324,1279,132507,5028,113060,4495
26856,1949,30307,1031,134498,5122,133142,5523
26489,2827,30204,3996,133104,5924,169792,5557
26485,2260,30383,1134,87286,3856,139472,4687
26498,1710,29956,2430,117121,3799,149369,5028
26168,2976,29927,3071,132980,5664,147509,5758
25861,2550,30405,1957,131709,5442,190548,4751
26612,1697,30311,1488,106665,4862,93821,4516
26549,2405,30102,2703,133172,5971,140231,5723
26510,2904,30098,2571,133163,5647,104955,5365
26510,1905,30047,2434,131338,5084,98672,4397
26344,2106,30020,2806,116787,5477,116250,5664
26212,2861,30020,4482,131688,5852,190848,5511
26958,2243,30349,2170,132775,5088,136631,4635
27214,1620,30204,1945,131351,4914,140560,4965
27009,2832,30371,3992,133087,5796,150482,5596
26847,2567,30464,3139,130160,5489,148716,4781
26685,1795,30255,2520,128019,4704,107391,4457
26433,2256,30208,2235,131461,5920,179313,5745
26105,2832,30212,3293,132549,5655,143960,5011
26190,1915,30174,784,112176,3253,125353,4444
26361,1970,29952,2707,129461,5549,123600,5562
26361,2819,29944,3731,131402,6052,152184,5600
26429,2349,30285,605,127178,5233,104047,4670
26194,1638,29526,2861,71486,5096,98066,5045
25768,2827,29850,4362,129051,6035,154944,5481
26510,2491,30242,2443,132780,5562,162264,4891
27027,1757,30251,1342,133360,4631,110931,4627
26788,2119,30221,2089,133518,5907,156731,5754
26463,2849,30315,2597,132792,5532,151105,5246
26403,1949,30030,2144,134204,4717,96585,4013
26424,1957,30042,1569,132886,5374,158109,5468
25990,2934,30354,3693,135288,5549,167229,5545
25887,2371,30089,1338,132566,5118,184462,4584
26574,1586,30012,1915,121365,5033,115781,4879
26373,2734,29952,4419,132945,5898,135808,5416
26271,2503,30132,1740,131901,5181,128753,4939
