525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
62499,1901,25452,1842,92627,3655,139012,4610
62145,2686,25870,2409,61249,4406,144940,5344
60196,3015,24812,4482,196077,5741,144732,5276
62580,1974,25465,2324,128936,4670,146891,4478
62746,2161,25435,1974,186044,5323,146114,5420
62767,3058,25687,3518,141920,5911,145640,5689
62699,2076,25559,1365,139920,5109,144992,4768
62998,1598,25482,2273,94423,5160,145179,4845
62316,2844,25457,3881,176562,5843,143444,5698
62538,2550,25461,1603,105031,5263,143610,5024
62593,1880,25550,358,110436,4584,132511,4666
62346,2546,25290,1949,147765,4755,143738,5710
62606,3198,25563,2644,144109,5318,145196,5187
63080,1953,25580,1594,98847,4823,141149,4410
62486,2110,25298,3007,117052,5386,145994,5464
62367,3037,25597,2874,158838,5506,145913,5562
62456,2230,25482,2806,126910,4922,144667,4649
63233,1488,25618,2508,129836,4965,146758,4948
63370,2823,25648,3318,162349,5788,144608,5591
62947,2474,25610,2580,190434,5204,145179,4887
63173,1761,25542,379,117667,4653,143729,4448
62909,2392,25516,2396,137425,5835,145192,5693
62772,2968,25580,2768,111191,5468,145960,5229
62738,1778,25414,1509,99307,4832,145526,4504
62248,1949,25030,2081,168799,5532,145691,5489
62534,2980,25461,4252,196755,5498,145278,5672
63053,2239,25571,2042,105266,3919,143704,4525
62473,1638,25116,2793,127823,4781,144902,4986
62388,2921,25328,3898,145696,5583,145759,5583
62606,2644,25401,2695,125874,4214,144540,4935
62631,1820,25406,1479,91642,4802,140739,4631
62763,2520,25418,2358,177939,5737,145871,5881
62866,2980,25576,2874,191316,5536,145645,5135
63177,1880,25639,2495,100079,5007,142164,4419
62807,2119,25474,1321,133044,5634,145768,5528
62278,3007,25563,3020,148554,5511,146045,5813
62013,2290,25341,2469,117765,4994,143405,4700
62162,1642,25444,2571,130962,4845,146817,4931
61727,2785,25110,3782,160613,5574,141916,5412
61010,2503,25277,2942,58272,3907,98962,3549
56715,2000,23993,1846,99597,3407,94790,4171
55917,2576,23643,2413,163654,4662,149991,5472
55674,3249,23802,4047,157771,4362,149266,4879
55849,1957,23814,2149,130408,3736,115687,3983
55802,2205,23656,1543,137429,4141,136674,5113
55755,3168,23699,3911,171055,4406,149846,5195
55785,2417,23802,2235,139220,3799,122342,4218
55874,1706,23656,2844,131299,4004,124410,4533
55738,2900,23737,2946,159555,4658,147291,5374
55635,2759,23776,2413,152935,4043,134119,4572
55819,1928,23763,298,114950,3492,108777,4209
55760,2512,23652,3765,152960,4618,149923,5344
55669,3207,23699,3822,157737,4350,143666,4990
55832,2042,23741,1006,127277,3689,111733,4158
55806,2140,23614,1727,139156,4205,144728,5113
55644,3185,23669,4209,166632,4610,149765,5130
55730,2383,23806,2874,134887,3753,118110,4226
55802,1718,23707,1911,140906,3856,125307,4618
55674,2853,23686,3416,164209,4627,150188,5301
55692,2738,23694,3505,149369,4248,137804,4478
55764,1867,23741,819,111985,3526,100527,4150
55669,2434,23597,3740,154006,4635,150102,5433
55563,3194,23707,3625,155904,4448,148017,4973
55811,1974,23690,2166,128587,3617,110462,3924
55798,2201,23728,2959,146749,4026,143073,5135
55538,3100,23686,3151,169302,4572,147291,5246
55674,2354,23690,2934,140739,3816,121130,4307
55798,1735,23635,643,133650,3795,126168,4525
55657,3007,23656,3045,161982,4666,149919,5255
55648,2755,23806,2098,143081,4197,138644,4512
55802,1940,23728,2597,112714,3450,95289,4146
55669,2478,23660,2311,149352,4631,149706,5437
55550,3130,23716,3634,159955,4316,149949,4900
55811,2042,23772,1769,137586,3714,112249,4064
55764,2123,23737,2303,137808,4239,133108,5118
55618,3190,23733,3748,171584,4623,147735,5195
55709,2447,23751,1300,139093,3822,122094,4286
55819,1769,23728,2076,128936,3902,125549,4610
55542,2985,23622,3881,160907,4623,148426,5365
55678,2861,23768,3143,149919,4120,135117,4453
55789,2004,23819,993,119693,3420,110449,4150
55760,2443,23588,3953,154662,4618,147522,5468
55538,3190,23605,2968,159337,4385,142471,5028
55696,2034,23840,1632,137361,3625,117060,4129
