525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
52654,2375,24825,4124,183456,5472,154756,5403
52283,2938,24731,3301,189913,5352,155468,4990
53584,1825,24885,2243,157273,4567,157857,4294
53516,2042,24936,1974,163948,5164,156040,5156
53371,3011,24936,5041,185993,5549,154965,5187
53413,2201,24974,1330,164541,4772,155729,4406
53584,1689,24864,2861,166073,4939,154398,4700
53508,2703,24843,3710,182589,5540,154023,5523
53614,2503,24945,2047,166243,5199,156829,4649
53639,1786,24923,1752,138077,4504,156897,4269
53516,2366,24868,2712,176860,5596,154556,5408
53443,2946,24915,3936,191052,5293,154283,5007
53576,1871,24979,865,160600,4687,156833,4265
53417,2025,24923,1996,161320,5058,156522,5177
53610,2925,24936,4721,189043,5395,154888,5289
54680,2192,25256,2042,191756,4589,156061,4385
54885,1581,25137,1680,192442,4755,155852,4580
54812,2712,25021,3134,189683,5378,155033,5391
54586,2559,25154,2980,192486,5058,155644,4555
54501,1795,25047,2222,186190,4487,156241,4146
54535,2239,24987,3693,189069,5395,155946,5331
54454,2938,25093,4870,179842,5181,155758,4914
54390,1867,25089,1177,184616,4610,156207,4209
54331,1957,25017,3365,167783,5045,156245,5139
53921,2900,24996,5297,190971,5528,155140,5395
54036,2286,25154,1390,181514,4781,155417,4380
53980,1552,25072,2635,187316,4760,155809,4675
53673,2785,24936,4303,191394,5566,156177,5437
53485,2542,24974,2661,183092,4926,156279,4627
53815,1808,24949,1027,168278,4380,157303,4269
53447,2205,24932,2652,190105,5630,155699,5442
53520,3007,24957,4926,159589,5318,156419,5092
53542,1871,24987,2264,175005,4717,155644,4197
53183,2013,24898,2946,192558,5143,155644,5246
53588,2832,24889,3941,190263,5664,157640,5212
53720,2320,25017,2396,126676,4721,157149,4470
51255,1632,24786,3873,191312,4969,155775,4597
53183,2789,24940,4004,170403,5515,155268,5425
53290,2443,24885,2434,170244,5062,154791,4499
53307,1689,24919,2294,140982,4372,157542,4260
53132,2192,24795,2699,182022,5689,154918,5403
53286,2980,24843,5160,171870,5164,155234,4960
53269,1854,25098,2213,151318,4726,158036,4256
53089,1915,24949,2499,164636,5164,155076,5335
53102,2870,24837,5007,137084,5754,154935,5284
53200,2320,24902,3054,107408,4222,157162,4423
52979,1564,24860,2627,113012,4806,155191,4709
52594,2724,24820,4294,145196,4969,158002,4397
52262,2614,24957,3757,189427,5195,154717,4555
54088,1816,25081,1403,192486,4354,155716,4265
54689,2170,25008,4845,193603,5574,156202,5391
54621,2951,25116,4410,191807,5344,155375,4994
54600,1795,25072,1031,174122,4584,155737,4299
54365,1897,24987,3126,191777,4904,154961,5221
54253,2827,25047,3676,192780,5502,155767,5335
54048,2315,25089,1769,182320,4862,156091,4299
54062,1663,24962,2686,174890,4836,154768,4692
53832,2699,24974,3612,187286,5553,156232,5327
53844,2486,25034,4713,178460,5164,155938,4653
53815,1752,25158,2127,167429,4397,155938,4205
53827,2273,24953,2917,189828,5557,156040,5485
53456,3032,25047,4627,192703,5420,154760,4994
53724,1837,25167,1253,154227,4584,155682,4354
53426,1919,24979,3181,148225,5079,156770,5191
53554,2883,24919,5429,177645,5566,154918,5276
53358,2161,24974,2286,186688,4982,155562,4402
53542,1655,24868,1642,122589,4675,154922,4559
53153,2699,24816,3458,184355,5464,155720,5433
52846,2597,24983,3412,122725,4231,157064,4635
52129,1850,24808,3126,192759,4550,155558,4184
53030,2188,24829,3612,176375,5570,155054,5481
53106,2968,24911,4175,153416,5331,154385,5071
53161,1871,24898,2055,192592,4649,156411,4294
53588,1940,24970,2170,176720,4896,156437,5075
53567,2925,24957,3382,189786,5642,155528,5437
53618,2307,25106,2703,188364,4874,156514,4393
53405,1581,24945,2089,174271,4785,155212,4635
53741,2695,24979,4794,173819,5369,154402,5420
53439,2525,25000,4055,147185,5280,156160,4692
53161,1744,25089,1313,139660,4717,156671,4273
53174,2239,24987,3847,178550,5468,155234,5442
52795,3028,24587,5050,165808,5276,154978,5147
53328,1888,24949,1884,139037,4368,156702,4103
53328,1953,24923,2059,149625,5007,154747,5187
53290,2908,24860,5177,187870,5591,155622,5382
53447,2320,25013,1121,159870,4904,154978,4406
53366,1547,24872,1365,149373,4990,157149,4798
53320,2776,24889,3795,181109,5502,154820,5523
53204,2627,24877,3130,192213,5028,155098,4658
53754,1842,24957,1300,127341,4508,154785,4273
53512,2243,24881,3668,167425,5693,154227,5574
53059,3151,24979,4068,145261,5361,155583,5181
53000,1940,25068,2482,191879,4772,156377,4197
54027,1897,24928,2759,187853,4990,155746,5113
53985,2853,25051,5464,190476,5587,155839,5306
54160,2388,25025,2149,153570,4828,157542,4461
53912,1382,24979,1023,120247,4832,155712,4760
53733,2755,25034,3164,192537,5668,156334,5357
53550,2648,24957,2614,180648,5033,155238,4683
53669,1782,25102,2247,161735,4311,158152,4197
52944,2277,24987,3173,193688,5591,155622,5506
52364,3160,24778,3868,186100,5399,155801,4994
52748,1983,24936,865,184914,4870,156283,4328
52693,1953,24864,3100,119680,5221,156406,5276
51916,2993,24735,3898,191117,5775,153928,5566
52948,2529,24889,2669,158194,4904,155178,4345
53400,1492,24864,2656,141750,4840,157597,4798
53161,2720,24825,3907,179492,5365,155473,5416
53098,2605,24885,2976,175274,4874,155575,4726
53409,1829,24983,1291,99465,4038,153378,3873
52206,2201,24697,3280,192089,5608,155596,5570
52723,3207,24889,3011,193049,5221,155140,5135
53089,1928,24962,1399,156437,4658,156667,4286
53157,1974,24791,1876,161129,5276,157550,5096
53866,2866,25034,5054,191581,5608,155046,5498
53883,2434,25093,1744,177692,4887,156023,4265
53840,1598,24966,2451,176600,4832,157866,4623
53605,2751,25008,5335,192425,5502,156330,5450
53798,2580,24991,3608,180934,5028,156241,4601
54019,1706,25106,2392,135408,4666,157610,4051
53529,2106,25000,2567,191390,5596,155843,5460
53332,3190,24855,3245,192353,5369,154607,5079
53716,1850,25000,972,118806,4653,155477,4397
52918,1915,24962,1842,161432,5284,154590,5011
53212,2832,24991,3748,167169,5416,155566,5464
53119,2469,24979,2635,192093,4874,158266,4358
52603,1564,24676,1962,148891,5028,154603,4597
53051,2656,25000,5429,164784,5446,155400,5408
53093,2618,24919,2529,175231,5301,155549,4772
53277,1833,24932,2844,133501,4474,140509,3881
52351,2161,24604,2989,191257,5412,155938,5468
52569,3100,24803,3907,188629,5229,155187,5181
53089,1966,24949,2209,161052,4891,157324,4201
53132,2004,24795,1382,168265,5037,155200,4982
53320,2972,24693,4368,137484,5604,155644,5587
52522,2315,24983,2273,137535,5011,159132,4474
52706,1659,24761,1945,33753,3318,155293,4623
51409,2823,24471,4508,165949,5689,153280,5293
53610,2724,25059,3932,189137,5177,154837,4717
54791,1795,25150,2362,191790,4487,156010,4009
54855,2174,25116,3808,193322,5429,155627,5416
54761,3028,25179,3139,192908,5242,155690,5075
54753,1940,25188,1365,176669,4704,155575,4299
54514,1974,24991,3173,192473,5016,156031,4900
54317,2819,24991,3518,192912,5608,155272,5429
