525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
35920,148477,23358,162805,182944,319857,212832,729737
35907,148315,23114,162754,182802,319643,212564,729319
35740,148362,23285,162673,182427,319034,212508,729285
35928,148460,23307,162776,182824,319746,212769,729655
35916,148239,23165,162720,182883,319669,212713,729958
35792,148443,23260,162725,182525,319042,212576,729314
35865,148413,23396,162810,182641,319379,212679,729775
35937,148400,23277,162831,183063,319865,212820,729651
35809,148178,23102,162754,182593,318898,212555,729481
35763,148430,23349,162780,182508,319298,212551,729570
35916,148451,23191,162890,182883,319831,212828,730002
35894,148260,23097,162763,182887,319439,212491,729558
35723,148336,23260,162708,182436,318991,212602,729558
35941,148455,23273,162937,182883,319810,212815,729575
35941,148319,23106,162852,182879,319789,212679,729494
35702,148208,23290,162754,182542,319076,212525,729225
35801,148404,23362,162737,182619,319396,212675,729468
35890,148392,23170,162861,183071,319925,212858,729600
35856,148268,23239,162780,182631,319141,212564,729204
35805,148413,23438,162865,182512,319260,212602,729378
35937,148443,23209,162797,182939,319942,212892,729711
35822,148328,23153,162656,182819,319524,212542,729340
35792,148336,23302,162681,182385,318970,212500,729528
35826,148392,23251,162869,182798,319704,212701,729763
35924,148366,23243,162865,182935,319772,212718,729541
35890,148311,23396,162776,182495,319213,212581,729200
35890,148460,23455,162848,182627,319341,212743,729498
35984,148451,23379,162865,183050,319844,212858,729818
35869,148243,23230,162677,182542,319076,212474,729259
35814,148447,23409,162878,182529,319209,212504,729473
35954,148434,23251,162895,182900,319776,212905,730108
35809,148341,23230,162694,182845,319609,212555,729263
35826,148370,23315,162771,182508,318957,212491,729438
35865,148434,23302,163015,182824,319734,212773,729831
35941,148421,23140,162776,182914,319763,212747,729609
35860,148332,23281,162788,182521,319162,212598,729088
35856,148417,23392,162869,182717,319358,212803,729532
35954,148400,23230,162941,183131,319981,212940,729843
35886,148243,23199,162694,182641,319063,212517,729575
35839,148404,23324,162788,182568,319247,212593,729549
35865,148396,23328,162827,182914,319887,212824,730201
35865,148273,23102,162742,182790,319639,212542,729553
35788,148400,23222,162685,182478,318970,212504,729361
35860,148443,23413,162831,182819,319836,212803,729583
35920,148341,23119,162810,182887,319742,212794,729583
35784,148332,23383,162725,182470,319085,212449,729477
35814,148537,23290,162810,182619,319396,212661,729792
35979,148438,23353,162788,182956,319887,212790,729843
35767,148216,23140,162720,182483,319000,212402,729160
35749,148336,23273,162742,182589,319315,212530,729575
35911,148353,23366,162784,182892,319874,212811,729664
35818,148256,23097,162660,182883,319656,212542,729331
35826,148247,23443,162746,182546,319097,212593,729187
35826,148520,23324,162852,182858,319831,212773,729971
35860,148328,23085,162793,182887,319687,212692,729450
35780,148277,23273,162664,182517,319008,212496,729221
35852,148319,23319,162814,182654,319452,212726,729481
35903,148358,23247,162801,183139,319882,212849,729771
35865,148233,23182,162664,182658,319063,212602,729187
35818,148362,23392,162776,182538,319192,212692,729553
35894,148421,23209,162759,182982,319618,212896,729979
35860,148349,23136,162708,182956,319580,212559,729481
35831,148345,23383,162733,182508,319038,212576,729528
35911,148485,23281,162882,182802,319734,212807,729723
35907,148421,23153,162784,183041,319683,212756,729532
35775,148336,23370,162754,182500,319085,212419,729183
35826,148383,23387,162861,182627,319499,212623,729655
35988,148396,23294,162903,183109,319998,212794,729831
35894,148285,23319,162664,182580,319131,212530,729387
35916,148438,23349,162784,182542,319264,212752,729408
