525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
82338,118430,33651,136576,277508,200211,269284,518119
82372,118374,33591,136443,277840,199908,269428,518179
82262,118169,33621,136371,277311,199694,269113,517752
82219,118370,33693,136384,277256,199021,269134,518243
82330,118319,33681,136500,277721,199929,269527,518486
82194,118186,33600,136341,277521,197421,269216,517927
82283,118340,33689,136443,277294,200501,269045,517837
82262,118451,33693,136448,277641,202890,269297,518439
82296,118281,33604,136401,277836,198948,269411,517906
82283,118353,33659,136418,277362,199762,269096,517710
82292,118379,33681,136563,277499,199665,269348,518127
82411,118374,33608,136494,277832,198163,269476,518251
82236,118226,33642,136363,277376,200082,269109,517841
82296,118323,33753,136465,277465,197532,269250,518234
82381,118421,33736,136529,277943,202164,269403,518332
82228,118294,33638,136286,277487,197476,269271,517885
82317,118391,33804,136504,277504,200147,269087,517944
82372,118430,33634,136525,277704,200109,269540,518332
82313,118277,33446,136363,278007,200300,269411,518046
82236,118332,33689,136452,277704,198044,269280,517885
82385,118336,33795,136542,277862,197519,269540,518362
82463,118362,33672,136371,278169,197066,269646,518127
82317,118238,33706,136282,277563,198444,269195,517756
82343,118336,33715,136448,277649,198704,269322,518072
82450,118404,33681,136443,278199,197174,269680,518404
82423,118323,33591,136320,277768,196776,269420,517752
82351,118281,33812,136490,277730,195365,269531,518102
82458,118434,33795,136521,278054,194571,269894,518358
82440,118340,33685,136380,278156,197327,269493,518029
82334,118272,33736,136465,277713,202236,269182,517667
82279,118328,33778,136525,277857,204395,269203,518222
82423,118404,33664,136448,278160,202463,269433,518131
82326,118195,33672,136380,277559,198103,269237,517714
82411,118345,33766,136563,277627,201925,269079,518102
82381,118366,33744,136435,278109,205372,269437,518154
82173,118238,33651,136213,277721,204771,268857,517718
82249,118234,33698,136418,277299,191155,269502,518076
82480,118516,33740,136568,277845,201656,269386,518452
82321,118289,33539,136473,277726,200317,269263,518085
82321,118362,33664,136431,277354,201793,269053,517995
82415,118362,33693,136589,277692,201764,269241,518256
82385,118391,33647,136431,277772,205023,269275,517970
82207,118161,33638,136439,277333,191833,269468,517795
82364,118459,33736,136473,277567,204477,269049,518144
82428,118353,33710,136494,277948,205546,269241,518404
82245,118255,33505,136278,277635,204992,268913,517735
82326,118302,33770,136494,277337,204540,268895,517863
82296,118362,33727,136521,277734,200966,269348,518285
82317,118226,33522,136307,277610,205074,269233,518012
82326,118272,33715,136375,277448,193646,269297,517837
82398,118459,33753,136542,277589,202071,269246,518239
82368,118357,33617,136435,277887,205700,269168,518127
82202,118186,33659,136375,277277,204847,268742,517850
82236,118332,33681,136473,277294,204395,268785,518046
82296,118357,33685,136534,277785,205201,269138,518243
82181,118217,33556,136248,277368,193659,269172,517782
82372,118396,33676,136512,277197,204024,268814,517940
82304,118387,33681,136482,277495,202975,269121,518158
82313,118311,33514,136358,277525,203474,269015,518063
82330,118238,33710,136414,277095,204562,268840,517898
82211,118425,33613,136546,277376,202702,269053,518332
82458,118417,33630,136422,277692,205470,269028,518059
82360,118213,33608,136290,276975,204459,268708,517722
82258,118336,33676,136508,277197,204736,268704,518114
82296,118311,33668,136500,277542,194529,269455,518563
82364,118353,33488,136235,277376,202595,268789,517812
82121,118285,33634,136456,276898,202873,268848,517910
82262,118349,33706,136456,277354,202676,269015,518158
82241,118230,33442,136341,277239,200863,269075,518089
82202,118434,33668,136486,276958,202224,268674,517910
82317,118379,33689,136525,277095,199656,269164,518196
82372,118408,33600,136568,277538,199315,269168,518148
82236,118186,33565,136465,277077,197583,268891,517778
82262,118391,33710,136490,277184,198133,269011,518102
82394,118408,33744,136490,277567,201127,269348,518404
82279,118264,33539,136371,277081,199677,269019,517756
82236,118349,33608,136460,276902,198871,268913,518051
82419,118408,33710,136602,277499,198278,269258,518281
82381,118298,33484,136307,277559,198918,269155,517906
82321,118332,33804,136473,276975,198236,268956,517820
82436,118387,33749,136521,277368,195991,269292,518226
82454,118434,33476,136431,277606,195680,269331,518222
82321,118213,33587,136375,277201,196922,268891,517833
82262,118353,33621,136465,277150,198786,268917,517987
82334,118383,33569,136392,277461,198636,269263,518417
82249,118268,33522,136239,277239,196896,268973,517710
82245,118298,33600,136354,276966,201439,268793,517854
82241,118357,33613,136465,277260,198376,269075,518192
82423,118336,33561,136375,277350,201081,268943,517910
82258,118298,33647,136324,276804,200031,268695,517765
82287,118391,33681,136517,277303,199639,268930,518243
82419,118421,33561,136435,277444,199899,269164,518093
82142,118234,33604,136346,276911,199853,268670,517799
82190,118319,33579,136422,276953,200748,268895,517953
82360,118362,33702,136409,277849,200791,269079,518328
82317,118191,33501,136337,277341,199366,268759,517650
82270,118349,33642,136384,276437,199191,268512,518029
82334,118357,33659,136521,277286,197612,269143,518285
82292,118230,33437,136384,277163,198227,269002,518004
82245,118199,33638,136431,276549,199106,268636,517684
82228,118328,33625,136529,276799,199392,268861,518222
82258,118379,33518,136422,277051,199034,269058,518234
82207,118157,33591,136392,276668,196598,268759,517701
82262,118447,33569,136422,276693,196700,268674,518085
82313,118400,33693,136490,276839,199912,268840,518158
82112,118268,33386,136252,276288,197100,268422,517889
82155,118379,33531,136473,275887,197779,268285,518034
82177,118417,33573,136435,276032,200138,268171,518183
82057,118251,33245,136354,275759,196922,268103,517961
81997,118383,33416,136435,274957,196708,267522,517778
81968,118482,33391,136504,274833,199161,267500,518102
81976,118434,33224,136431,274740,197881,267309,518089
81822,118277,33194,136414,273980,196291,266818,517778
81737,118482,33181,136521,273716,197583,266750,518188
81737,118533,33177,136508,273775,200761,266733,518392
81635,118264,33015,136482,273199,196901,261511,517885
80171,118421,31923,136521,267608,198551,260190,518046
81375,118601,32772,136504,271629,204996,268302,518114
81826,118332,33054,136354,274837,200488,269049,518072
82036,118391,33437,136431,275474,203986,269058,517790
82078,118345,33587,136448,276668,201866,269718,518311
82253,118391,33501,136469,277201,201273,269953,518175
82177,118260,33587,136439,277163,201157,269574,517773
82142,118362,33693,136504,277521,198752,269885,518038
82258,118319,33698,136418,278169,201576,270295,518353
82351,118247,33621,136244,278096,196196,270052,517773
82394,118396,33778,136473,278003,201793,269919,518063
82309,118298,33808,136494,278442,199631,270291,518209
82309,118285,33638,136329,278630,202215,270201,518025
82321,118281,33825,136426,278335,199267,270090,517752
82394,118332,33842,136572,278741,199110,270418,518076
82475,118328,33668,136422,279163,202122,270435,518089
82283,118209,33860,136448,278762,199102,270274,517807
82446,118391,33937,136504,278903,199635,270359,518114
82501,118298,33753,136465,279466,197915,270764,518465
82432,118251,33719,136333,279193,200859,270372,517616
82419,118285,34047,136426,279163,204041,270342,517858
82484,118298,33898,136439,279590,204532,270662,518281
82509,118213,33740,136380,279700,203777,270696,517991
82381,118221,33945,136418,279364,204156,270372,517846
82454,118281,33932,136482,279756,202778,270657,518205
82552,118264,33932,136409,280276,203362,270802,517983
82446,118186,33894,136363,279641,202403,270533,517646
82471,118264,33903,136422,279829,202539,270537,517858
82484,118247,33945,136500,280409,204101,270833,518209
82428,118157,33924,136316,280063,204570,270547,517748
82471,118243,33962,136388,279935,204429,270555,517786
82509,118281,34000,136460,280336,196862,271071,518144
82590,118268,33920,136316,280490,202224,270845,518017
82480,118302,34081,136439,280063,201622,270721,517608
82552,118281,33937,136482,280468,202492,270810,518119
82569,118336,33937,136469,280665,202143,271079,517881
82471,118089,34022,136320,280400,199170,270662,517684
82577,118332,34150,136465,280524,199511,270909,517841
82719,118311,34005,136448,281027,199895,271310,518277
82616,118230,33911,136358,280775,201520,270828,517680
82590,118264,34102,136512,280583,204280,270781,517867
82594,118234,34125,136494,280972,202062,271216,518273
82671,118221,33958,136333,280968,204591,271015,518004
82560,118260,34154,136422,280570,200748,270909,517765
82641,118328,34129,136529,280968,198653,271101,518192
82713,118302,34034,136469,281167,202907,271152,518012
82573,118135,34060,136384,280835,201802,270841,517663
82586,118302,34115,136460,280831,201827,270977,517991
82719,118277,34081,136418,281176,199656,271339,518247
82611,118174,33988,136341,280843,199140,271049,517654
82628,118298,34176,136443,280951,199942,270994,517867
82696,118260,34154,136473,281249,197305,271387,518290
82770,118247,33907,136337,281159,198107,271250,518051
82688,118178,34137,136405,280886,194977,271011,517739
82650,118362,34111,136431,281163,195339,271314,517991
82757,118349,34039,136431,281449,195424,271485,518038
82641,118213,34115,136397,281095,198073,271037,517773
82675,118264,34214,136477,281121,199605,271083,517940
82701,118255,34142,136460,281480,196440,271549,518281
82658,118230,34022,136375,281236,196615,271199,517858
82770,118336,34137,136418,281270,198517,271020,518000
82838,118306,34222,136500,281475,194751,271510,518260
82757,118268,34125,136418,281624,199575,271362,517850
82654,118281,34085,136354,281031,194977,271037,517765
82658,118319,34150,136508,281449,197561,271362,518148
82770,118353,34142,136422,281774,196031,271578,518046
82671,118178,34102,136286,281253,195254,271195,517875
82727,118400,34210,136448,281262,196008,271370,518080
82787,118247,34163,136469,281931,196141,271617,518413
82705,118182,33962,136358,281569,194609,271310,517803
82765,118311,34235,136392,281292,197523,271271,517837
82748,118315,34252,136460,281705,199250,271374,518366
82688,118174,34060,136375,281846,197178,271413,517974
82701,118217,34184,136358,281514,194461,271225,517833
82808,118404,34269,136448,281654,197225,271413,518179
82761,118315,34111,136559,281855,198355,271540,518131
82671,118114,34094,136346,281381,198824,271161,517676
82701,118391,34176,136490,281543,204058,271097,517875
82748,118247,34239,136477,281940,199455,271681,518200
82650,118144,34060,136295,281782,199989,271161,517637
82688,118221,34137,136337,281457,201174,271135,517991
82723,118268,34188,136460,281812,201729,271451,518148
82812,118195,34060,136384,281846,202049,271383,517915
82616,118230,34231,136439,281471,201434,271114,517718
82744,118306,34133,136508,281611,199703,271356,518311
82719,118260,34154,136388,282021,199686,271391,517936
82582,118050,34047,136329,281419,197314,271233,517858
82654,118306,34167,136422,281641,201030,271318,518114
82816,118302,34201,136392,282140,198990,271647,518298
82736,118084,34119,136295,281893,198227,271331,517739
82688,118251,34201,136405,281718,197276,271263,518012
82778,118315,34235,136409,282085,197246,271536,518183
82812,118243,34039,136316,282003,198061,271523,517833
82727,118213,34184,136392,281671,197988,271284,517680
82770,118264,34248,136405,282009,198530,271566,518230
82821,118289,34150,136401,282247,196755,271643,517978
82713,118165,34184,136409,281675,195011,271322,517739
82757,118413,34269,136465,281799,196704,271400,517974
82774,118311,34201,136563,282294,202083,271604,518362
82667,118135,34060,136278,281978,198423,271391,517697
82662,118264,34295,136358,281787,199332,271259,517885
82829,118268,34303,136517,282341,199136,271724,518217
82872,118319,34159,136358,282320,198517,271481,518038
82748,118311,34273,136490,281863,198628,271259,517748
82842,118298,34265,136422,282242,198035,271536,518205
82829,118272,34111,136477,282456,200581,271629,518055
82628,118251,34222,136324,281740,198073,271276,517688
82782,118383,34231,136473,282098,198666,271305,517957
82804,118247,34188,136333,282511,197225,271868,518162
82731,118161,34137,136320,282170,195701,271396,517773
82744,118277,34261,136358,282009,199017,271322,517756
82833,118332,34358,136504,282303,198107,271621,518144
82782,118165,33988,136346,282375,198526,271498,517927
82654,118123,34214,136227,281940,198457,271220,517676
82791,118281,34214,136486,282286,199153,271549,518089
82816,118268,34129,136452,282511,198090,271728,518209
82713,118093,34180,136290,281986,199840,271220,517594
82624,118238,34261,136392,282026,199779,271288,517833
82855,118234,34214,136426,282549,197301,271792,518192
82713,118182,34171,136354,282132,198304,271400,517714
82753,118268,34248,136375,281931,199396,271464,517944
82872,118247,34282,136465,282362,200134,271566,518243
82744,118118,34107,136273,282541,200151,271635,517756
82701,118191,34252,136341,281982,197851,271344,517846
82808,118281,34269,136469,282337,201955,271481,518123
82855,118281,34133,136367,282494,198590,271523,518136
82645,118135,34210,136346,281948,200484,271310,517577
82740,118260,34235,136443,282051,198086,271485,517803
82914,118247,34244,136397,282559,200313,271754,518188
82736,118169,34107,136324,282225,198568,271391,517782
82719,118234,34235,136278,282034,198116,271335,517932
82850,118182,34231,136477,282477,197894,271540,518290
82795,118203,34146,136213,282498,200296,271604,517932
82675,118191,34231,136422,282115,198683,271396,517718
82795,118277,34235,136477,282333,198956,271639,518140
82986,118209,34167,136409,282822,196486,271805,517936
82791,118152,34201,136329,282268,196431,271489,517752
82791,118306,34329,136414,282426,199609,271404,517803
82927,118247,34261,136512,282845,200040,271894,518345
82808,118118,34205,136329,282589,201030,271421,517671
82761,118213,34286,136375,282559,198726,271566,517893
82846,118277,34312,136392,282674,199311,271690,518140
82859,118178,34163,136354,282750,197356,271673,518008
82774,118217,34261,136329,282247,197152,271442,517705
82855,118144,34384,136500,282589,197032,271686,518307
82906,118298,34231,136388,282814,199460,271703,517983
82782,118144,34218,136295,282350,195804,271485,517778
82901,118336,34371,136401,282379,198069,271485,517893
83004,118328,34436,136409,282896,202778,271873,518162
82799,118106,34214,136273,282511,199925,271447,517625
82808,118289,34222,136375,282316,202301,271417,517885
82897,118203,34333,136380,282763,198880,271703,518205
82846,118186,34214,136286,282771,200040,271660,517910
82833,118169,34346,136299,282337,198778,271468,517688
82876,118226,34307,136460,282610,199605,271595,518080
83009,118247,34231,136350,282870,201226,271673,517915
82731,118140,34231,136269,282311,198556,271417,517522
82821,118251,34299,136388,282473,199707,271387,517966
82821,118182,34235,136337,282879,199536,271817,518188
82757,118093,34137,136320,282640,199068,271570,517688
82748,118182,34324,136392,282379,199720,271421,517773
82867,118251,34316,136534,282661,199233,271724,518264
82842,118165,34146,136367,282589,195472,271762,517957
82867,118213,34316,136265,282333,193790,271595,517773
82961,118328,34337,136521,282563,192664,271839,518148
82906,118391,34269,136460,282805,197758,271694,518110
82731,118238,34133,136422,282286,195800,271451,517854
82787,118289,34295,136388,282337,198960,271451,518004
82889,118144,34269,136431,282754,196653,271843,518281
82799,118127,34107,136316,282567,195821,271578,517773
82795,118243,34239,136235,282303,198253,271434,517837
82893,118243,34286,136482,282720,196981,271745,518469
82897,118169,34125,136261,282623,196457,271625,517885
82838,118243,34282,136367,282328,195672,271481,517885
