525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
52151,54100,45987,122606,82518,146383,113968,220578
52223,54088,45966,122495,82719,146472,114104,220557
52168,53883,46145,122316,82514,146293,113981,220459
52219,54058,46209,122546,82765,146519,113981,220681
52219,54177,45910,122640,82641,146553,114100,220527
52112,53912,46127,122418,82599,146328,114040,220400
52099,53912,46123,122516,82633,146336,114053,220489
52172,54143,45966,122645,82855,146476,114169,220656
52223,53874,45961,122503,82543,146267,113943,220250
52018,53707,46063,122465,82586,146165,113989,220357
52082,53980,46123,122657,82658,146493,114028,220523
52057,54006,45961,122359,82736,146455,114049,220515
52160,53874,46171,122435,82573,146199,114066,220345
52215,53929,46175,122679,82821,146362,113938,220584
52215,54054,46021,122611,82787,146447,114079,220493
52086,53861,46106,122329,82560,146345,113951,220323
52262,53904,46281,122499,82731,146336,114087,220498
52181,54100,46089,122602,82701,146681,114028,220570
52018,53976,45974,122363,82611,146421,113900,220464
52057,53767,46154,122321,82577,146314,114057,220430
52317,54040,46158,122503,82705,146515,114108,220596
52308,54040,45915,122448,82748,146391,114118,220447
52133,53883,46294,122290,82713,146191,114096,220362
52211,54027,46175,122602,82778,146553,114199,220476
52283,54279,46025,122623,82795,146595,114250,220447
52287,53849,46268,122384,82701,146297,114062,220588
52232,53976,46256,122418,82637,146357,114002,220468
52168,54075,46114,122542,82723,146515,114216,220686
52155,54019,46141,122440,82821,146489,114096,220438
52249,53819,46154,122380,82611,146357,114011,220506
52236,53997,46217,122499,82833,146591,114156,220544
52215,54066,46114,122350,82812,146421,114083,220468
52223,53827,46239,122235,82620,146225,114096,220442
52120,53912,46162,122585,82713,146578,114045,220574
52257,54194,46131,122554,82812,146438,114152,220468
52125,53866,46154,122367,82624,146259,114126,220311
52168,53963,46307,122537,82713,146417,114160,220618
52287,53980,46085,122461,82778,146464,114182,220527
52129,53968,46102,122235,82692,146284,114053,220374
52228,53810,46137,122452,82514,146310,113977,220374
52253,54019,46183,122666,82778,146396,114040,220686
52125,54083,45961,122499,82770,146425,114104,220527
52253,53934,46158,122316,82650,146212,114091,220438
52202,54010,46298,122598,82770,146383,114126,220630
52381,54215,46085,122589,82867,146578,114114,220720
52044,53823,46102,122410,82522,146169,113900,220349
52215,53904,46114,122554,82590,146254,113930,220502
52330,54079,46097,122598,82719,146472,114036,220698
52010,53985,45906,122457,82620,146493,113964,220447
52177,53793,46114,122440,82560,146259,113913,220485
52211,53989,45974,122606,82709,146362,113985,220622
52023,54044,45854,122525,82658,146408,114019,220605
52116,53789,46196,122316,82518,146233,113823,220468
52065,53946,46102,122529,82684,146322,113998,220553
52189,54113,45936,122577,82688,146553,113900,220434
52194,53741,46114,122376,82637,146097,113904,220315
51963,53866,46055,122516,82560,146370,113955,220489
52155,54062,46085,122474,82713,146578,114135,220592
52232,53951,46029,122469,82671,146370,114002,220396
52257,53836,46166,122431,82650,146366,114087,220451
52223,54027,46243,122708,82705,146370,114028,220652
52129,54105,45915,122338,82645,146519,113964,220417
52181,53925,46175,122423,82590,146250,113930,220447
52099,53980,46029,122581,82637,146498,113926,220618
52240,54109,45932,122606,82753,146566,113917,220515
52112,53861,46080,122431,82556,146182,113750,220246
52074,53874,45944,122581,82377,146425,113746,220553
52074,54066,45893,122474,82560,146639,113875,220669
51942,53972,45885,122474,82436,146314,113746,220519
51839,53853,45936,122427,82364,146148,113687,220481
52061,54023,46017,122602,82560,146510,113913,220660
52283,54019,45893,122435,82628,146438,113858,220345
52147,53819,46080,122298,82423,146242,113789,220447
52031,53951,45970,122567,82488,146434,113789,220652
52023,54177,45927,122653,82492,146630,113849,220613
52091,53823,45923,122393,82343,146216,113631,220413
52006,53908,46012,122567,82450,146332,113789,220519
52108,54083,45961,122567,82539,146583,113921,220660
52014,53985,45885,122304,82488,146322,113733,220425
52010,53832,46025,122397,82543,146345,113797,220536
52091,54019,46051,122563,82556,146536,113841,220720
52151,54071,45854,122393,82633,146587,114002,220498
52074,53775,46076,122444,82522,146135,113687,220417
51967,54023,45949,122520,82463,146485,113755,220605
52040,54211,45872,122550,82458,146489,113789,220532
51946,53793,45970,122230,82402,146271,113602,220370
52014,53887,45949,122503,82428,146345,113704,220421
52052,54036,45910,122577,82458,146523,113716,220669
51895,53968,45765,122478,82309,146404,113687,220379
52031,53836,45915,122410,82270,146182,113562,220515
51980,54066,45854,122499,82436,146618,113823,220557
51997,54048,45782,122423,82436,146400,113712,220468
51972,53793,45953,122380,82253,146182,113562,220451
51972,54010,45953,122554,82360,146400,113691,220489
52125,54117,45761,122683,82531,146464,113695,220536
52018,53836,45841,122359,82300,146203,113602,220425
51997,53900,45902,122418,82258,146468,113589,220544
51967,54023,45816,122585,82368,146464,113708,220618
52078,54010,45837,122376,82317,146353,113699,220434
52069,53861,45927,122499,82262,146400,113678,220544
51967,54023,45923,122546,82381,146570,113755,220622
52181,54062,45837,122397,82505,146481,113687,220472
52023,53832,45957,122410,82317,146242,113636,220502
52103,53955,45927,122559,82351,146557,113674,220549
52108,54207,45833,122478,82484,146536,113589,220601
51830,53870,45816,122372,82249,146263,113494,220434
51870,53883,45854,122594,82258,146332,113503,220557
52065,54079,45846,122611,82467,146566,113810,220737
51852,53942,45790,122444,82249,146425,113610,220455
51997,53802,45902,122482,82270,146430,113614,220570
52065,54075,46055,122632,82548,146515,113678,220626
51946,54100,45761,122393,82368,146698,113678,220549
52112,53785,46004,122264,82219,146379,113554,220379
51984,53985,45906,122563,82347,146527,113494,220690
52035,54126,45765,122623,82432,146387,113648,220532
51860,53771,45885,122444,82266,146328,113520,220519
51758,53870,45881,122465,82150,146288,113422,220532
51925,54083,45790,122670,82326,146557,113653,220630
51942,53963,45799,122367,82321,146425,113623,220566
51860,53815,45868,122427,82232,146220,113558,220430
51933,53963,45876,122696,82355,146639,113729,220544
52194,54143,45795,122499,82471,146578,113593,220536
51963,53908,45885,122461,82215,146293,113511,220353
51946,53917,45889,122606,82224,146417,113623,220626
52078,54100,45773,122589,82436,146566,113750,220635
51972,53806,45944,122435,82343,146349,113708,220366
51989,53925,45957,122559,82309,146387,113627,220566
52125,53917,45923,122499,82505,146485,113814,220771
51933,53946,45872,122491,82428,146425,113695,220523
51843,53754,45927,122418,82202,146195,113589,220498
52027,53993,45961,122491,82389,146566,113746,220601
51904,53997,45671,122537,82377,146451,113627,220532
51912,53878,45893,122465,82125,146152,113631,220421
52010,53980,46000,122559,82351,146515,113759,220413
52010,54100,45786,122619,82364,146515,113541,220472
51775,53836,45893,122247,82249,146174,113473,220374
51792,53798,45854,122414,82232,146387,113678,220459
51925,54122,45936,122440,82406,146591,113661,220570
51997,53959,45684,122410,82283,146447,113473,220293
51775,53849,45761,122474,82048,146404,113443,220476
51950,53985,45778,122598,82309,146442,113550,220609
51929,53976,45646,122495,82389,146425,113636,220455
52069,53827,45970,122239,82194,146345,113550,220353
52112,53908,45970,122520,82450,146425,113682,220523
52010,54160,45778,122606,82330,146561,113623,220557
