525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
87910,107429,71708,113879,251376,516144,585490,864778
87752,106925,71666,113401,250805,515350,585341,864164
87845,107152,71708,113636,250908,515769,585844,864471
87991,107365,71820,113682,251513,516558,585943,865375
87871,107220,71725,113653,251078,515611,585665,864147
87786,107079,71828,113558,250955,515619,584948,864688
87944,107190,71704,113665,251313,516315,585653,864782
88042,107271,71606,113568,251351,516152,585268,865004
87871,106921,71776,113350,250929,515483,585213,864049
87896,107173,71785,113537,251129,516050,584987,864854
87896,107412,71679,114002,251347,516012,585170,864824
87811,106955,71653,113486,250869,515432,585098,864236
87786,107096,71759,113606,250946,515632,584965,864437
87858,107254,71674,113678,251125,516169,584756,865183
87730,107147,71435,113477,250618,515189,584573,864454
87786,107079,71670,113597,250400,515475,584552,864322
87875,107297,71564,113636,250839,516059,584770,864782
87854,107382,71474,113746,251137,515879,584787,864479
87906,106993,71824,113524,250869,515397,584709,864151
87841,107262,71666,113687,251001,515850,585418,864564
87910,107450,71572,114002,251253,516008,584743,864560
87752,106951,71585,113405,250635,515073,584475,863925
87756,107075,71734,113562,250665,515683,584497,864394
87879,107348,71679,113708,251160,516050,584817,865192
87777,107071,71461,113558,250682,515406,584552,863946
87803,107028,71772,113490,250686,515282,584718,864117
87892,107198,71768,113729,251069,515947,585090,864902
87756,107266,71538,113712,251061,515939,584697,864513
87675,106862,71717,113499,250506,515236,584385,864164
87764,107215,71700,113682,250847,516055,584544,864650
87828,107531,71577,114122,251317,516093,585008,864591
87650,107067,71623,113354,250614,515103,584483,863980
87764,107169,71666,113520,250699,515611,584671,864676
87866,107442,71645,113759,250904,516579,584821,865158
87722,107186,71448,113554,250724,515731,584893,864364
87743,107135,71708,113597,250643,515397,584385,864369
87923,107352,71799,113823,251103,516396,585213,865029
87854,107374,71611,113900,251338,515892,585793,864688
87900,107092,71896,113448,250946,515513,585520,864176
87871,107203,71793,113750,251185,515807,585077,864773
87781,107420,71636,113977,251406,516016,584970,864441
87654,106959,71670,113375,250656,515103,584851,863976
87667,107071,71759,113602,250767,515577,584808,864390
87760,107340,71653,113733,251189,516191,585102,865012
87730,107177,71598,113524,251091,515350,585136,864070
87679,107067,71730,113511,250805,515487,585090,864283
87837,107275,71841,113682,251164,516157,585640,864824
87841,107369,71482,113793,251313,515964,585661,864608
87798,107092,71768,113503,250980,515526,585524,864053
87777,107318,71896,113627,251078,516182,585619,865038
87910,107531,71674,114053,251437,516362,585545,864756
87722,107139,71742,113465,250942,515278,585375,864300
87824,107207,71807,113661,251091,515691,585102,864407
88063,107386,71683,113704,251154,516520,584914,865114
87781,107289,71465,113623,251146,515731,584995,864322
87781,107109,71713,113392,250545,515632,584300,864420
87952,107484,71662,113653,250950,516434,585064,865110
87879,107501,71538,113619,251181,516127,585136,864739
87815,107181,71828,113494,250847,515504,585056,864257
87756,107357,71721,113742,250997,515905,585619,865200
87862,107596,71683,114053,251547,516425,585648,864876
87807,107071,71696,113422,250925,515363,584953,864155
87773,107186,71781,113640,250758,515926,584667,864599
87952,107450,71636,113716,251168,516468,585183,865234
87756,107186,71530,113610,251061,515705,585422,864517
87722,107194,71772,113593,250881,515338,584897,864411
87974,107450,71742,113810,251181,516298,585533,864898
87862,107446,71512,113780,251342,516110,585388,864616
87807,107105,71751,113494,250997,515168,585209,864215
87803,107378,71721,113674,251129,516063,585358,864824
87892,107587,71598,114122,251325,516404,585729,864778
87743,107096,71772,113516,250980,515487,585516,864159
88003,107266,71884,113699,251202,515636,585550,864492
88071,107514,71679,113699,251505,516404,586032,865217
87832,107266,71696,113653,251347,515543,585431,864475
87769,107122,71768,113576,250950,515731,585452,864807
87948,107420,71785,113750,251189,516408,585422,864991
87862,107510,71543,113845,251245,516084,585226,864585
87807,107160,71789,113589,250826,515691,585051,864360
87849,107425,71759,113755,251027,516272,585128,865213
87978,107702,71564,114100,251385,516447,585776,865080
87849,107067,71730,113465,251164,515623,585670,864390
87871,107352,71828,113674,251078,515867,585418,864735
88016,107459,71799,113818,251475,516550,585610,865418
87832,107301,71640,113670,251372,515939,585875,864377
87815,107152,71793,113545,250830,515509,585640,864437
87935,107416,71858,113801,251488,516277,585844,865298
87862,107459,71585,113818,251509,516050,585699,864881
87675,107028,71793,113503,250946,515406,585533,864308
87794,107357,71879,113687,251249,516174,585426,864876
87918,107518,71713,113955,251577,516379,585879,864744
87781,107109,71700,113490,251232,515248,585695,864278
87841,107220,71896,113606,251108,515820,585482,864816
87961,107522,71807,113784,251437,516588,586404,865200
87991,107297,71759,113682,251654,515718,585746,864339
87910,107118,71888,113482,251103,515572,585921,864500
88084,107497,71986,113695,251714,516493,586275,865038
87931,107591,71581,113814,251654,515837,586620,864949
87935,107207,71884,113401,251133,515206,585998,864573
87892,107378,71871,113725,251376,516233,586173,865119
88016,107539,71785,114053,251888,516558,586442,864940
87803,107084,71751,113503,251211,515244,585733,864356
87944,107340,71913,113602,251262,515905,585900,864663
87965,107467,71850,113801,251706,516510,586152,865008
87914,107262,71683,113490,251462,515679,586096,864091
87948,107147,71884,113537,251219,515321,586398,864326
88054,107476,71922,113767,251761,516340,586813,864885
88029,107412,71793,113674,251965,515982,586988,864568
87944,107181,72024,113414,251603,515428,586629,864031
87961,107271,71994,113623,251692,516025,586851,864983
88110,107514,71833,114087,251991,516212,587158,864697
87892,107071,71913,113346,251462,515111,586493,864091
88012,107306,71973,113699,251513,515824,586237,864551
88114,107416,71816,113704,251569,516524,586915,864940
88088,107215,71799,113537,251696,515470,586506,864049
87879,107084,71913,113520,251368,515291,586288,864083
88059,107450,71981,113814,251837,516203,586813,864756
87888,107412,71738,113776,251812,515879,586996,864471
87871,107016,71977,113397,251368,515325,586476,864079
87957,107266,71977,113640,251744,515862,586936,864386
88012,107420,71828,114118,252098,516148,587090,864573
87764,107033,71909,113384,251577,515065,586702,863920
87969,107245,71939,113580,251351,515577,586565,864134
88020,107408,71820,113738,251727,516243,586783,864735
87866,107203,71828,113648,251765,515475,586774,863933
87918,107096,71969,113499,251410,515312,586715,864134
88012,107399,72028,113858,251812,516229,586595,864898
88063,107596,71751,113750,251922,516178,586813,864659
87999,107143,71947,113597,251454,515632,587094,864215
87931,107365,71990,113733,251765,516340,586620,865213
88122,107548,71888,114036,252072,516400,586659,864816
87910,107084,71781,113452,251402,515466,586885,864295
88105,107271,72015,113640,251611,515926,586659,864458
88033,107514,71922,113845,252008,516247,587098,865183
87991,107335,71691,113503,251645,515833,586842,864573
87935,107340,72015,113674,251530,516093,586872,864803
88059,107425,71952,113738,251939,516567,587231,865375
88080,107587,71742,113780,251987,516455,587316,865008
87910,107101,71986,113585,251658,515594,586360,864274
87974,107357,71973,113545,251649,516008,587227,865188
88067,107514,71862,114165,252320,516260,587384,865179
88008,107075,71930,113405,251581,515492,586774,864134
87999,107164,72020,113516,251488,515662,586791,864492
88025,107433,71905,113750,251825,516451,587325,865106
87892,107169,71841,113653,251973,515760,586702,864236
87935,107122,71913,113636,251330,515449,586429,864803
88080,107420,71947,113841,251710,516229,586885,865042
87995,107450,71691,113793,251816,515952,587158,864517
87883,107126,71909,113477,251381,515410,586540,863908
88012,107348,71998,113648,251718,515991,586774,864876
88025,107531,71973,114087,252132,516438,586774,864995
87900,106959,71850,113341,251393,515397,586006,864462
87900,107232,71973,113661,251433,515995,586373,864373
88067,107522,71837,113772,251706,516404,586455,865302
87931,107357,71691,113776,251718,515731,586296,864386
87935,107232,71879,113614,251137,515756,585866,864803
88144,107562,71807,113896,251620,516247,586190,865435
87952,107651,71653,113955,251683,516336,586326,864949
87900,107237,71875,113562,251189,515718,586194,864646
88012,107446,71977,113721,251569,516455,586569,865196
88054,107651,71772,114173,252004,516635,586889,865366
87875,107160,71807,113580,251419,515504,586177,864415
87820,107301,71922,113716,251334,516050,585801,864837
87940,107514,71789,113784,251714,516575,586216,865400
87892,107331,71738,113490,251569,515475,585716,864398
87845,107190,71854,113597,251065,515441,585704,864625
87931,107442,71807,113831,251398,516370,586028,865349
87991,107570,71585,113823,251581,516319,585606,865179
87747,107198,71742,113678,250950,515662,585033,864488
87824,107378,71670,113729,251074,516195,585128,865106
87957,107672,71572,114203,251467,516605,585823,864953
87896,107207,71717,113439,251031,515657,585179,864458
87824,107386,71811,113767,250904,516033,584709,864718
87952,107587,71572,113823,251142,516438,584834,865307
87811,107306,71440,113712,250984,515884,584607,864432
87705,107207,71691,113572,250566,515691,584552,864625
