525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
101696,113858,90742,129038,322737,472805,732629,918099
101926,114091,90550,129081,323359,485479,732207,918328
101781,113938,90473,129009,323107,483802,731856,917923
101704,113708,90733,128898,322783,479063,732023,917847
101781,113977,90793,129004,323180,464879,733039,918520
101880,114262,90507,129171,323329,479788,732313,918059
101692,113653,90665,128723,322817,466227,732578,917561
101794,113917,90729,128958,322792,472259,732671,918525
101854,114156,90657,129444,323402,474247,732825,918362
101700,113687,90550,128706,322839,470071,732142,917727
101738,113733,90712,128936,322868,429266,733708,918256
101952,114199,90648,129115,323406,455705,733507,918525
101841,113943,90601,128821,323372,456156,733039,917799
101751,113870,90784,128902,322936,453738,733166,917864
101854,114114,90742,129150,323184,455261,733563,918537
101841,114233,90567,129034,323423,464602,733213,918418
101675,113738,90776,128932,322885,466011,732680,917680
101819,113972,90733,128987,323086,470489,732817,918256
101884,114224,90618,129461,323397,470817,732851,918328
101802,113704,90533,128723,322800,471223,732535,917830
101768,113738,90733,129000,323018,472571,732692,917991
101952,114156,90772,129137,323402,475160,732897,918580
101704,113998,90588,128860,323291,475314,732283,917928
101768,113716,90746,128753,322813,473697,732351,917974
101789,114074,90636,129146,323201,466471,732800,918512
101884,114194,90613,129119,323240,464615,732897,918025
101726,113772,90721,128928,322945,463357,732744,917714
101794,113930,90767,129106,322949,457167,733034,918414
101888,114186,90630,129290,323465,451823,733682,918376
101811,113767,90644,128864,323027,418939,734288,917928
101952,114053,90784,129013,323120,416418,734762,918277
102119,114330,90810,129235,323376,479993,732957,918465
101854,114019,90524,128816,323129,484971,732186,917638
101815,113896,90789,128915,322830,484996,731934,917748
101789,114053,90814,129060,323308,486306,732467,918349
101833,114182,90562,129038,323300,486520,732044,918188
101730,113733,90793,128757,322621,485530,731913,917629
101666,113913,90725,128898,322915,486033,732053,918085
101858,114087,90567,129345,323291,486173,732334,918192
101747,113661,90516,128753,322676,484975,731814,917433
101704,113797,90661,128928,322839,485111,731822,918013
101829,113998,90630,129034,323287,485713,732415,918269
101700,113849,90490,128945,323232,485342,732006,917578
101717,113716,90716,128898,322680,484353,731865,917782
101692,114028,90640,129055,322997,485303,731930,918418
101884,114139,90499,129000,323226,484911,732176,917902
101590,113550,90699,128864,322792,483989,731878,917526
101772,113814,90665,128983,322988,484037,732134,918008
101794,114045,90636,129260,323368,484404,732266,918137
101743,113572,90537,128710,322796,482326,732023,917505
101764,113716,90626,129009,322779,481413,732254,917826
101785,114002,90596,129013,323423,482749,732467,918376
101785,113823,90473,128719,323175,484067,731903,917663
101662,113644,90729,128885,322698,484856,731976,917898
101734,113955,90733,128970,323197,485896,732125,918145
101679,114032,90482,128953,323133,486387,731780,917851
101628,113580,90626,128902,322561,485615,731712,917680
101717,113784,90729,128983,322932,486340,732023,918192
101798,114028,90422,129158,323351,487026,732032,918103
101730,113520,90613,128629,322578,485436,731913,917774
101628,113699,90622,128970,322919,485125,732015,917812
101755,114006,90674,129098,323308,485376,732368,918273
101675,113810,90562,128808,323218,483559,731626,917701
101581,113708,90678,128757,322711,482078,731839,917906
101713,113921,90742,129017,323184,480999,732155,918230
101841,114126,90503,128958,323184,477562,732074,918158
101709,113623,90618,128812,322779,478867,732053,917535
101734,113853,90746,129094,322826,481111,732368,917991
101806,114023,90687,129341,323261,482808,732283,918103
101675,113653,90584,128795,322834,481716,731903,917450
101777,113789,90725,129000,323031,481810,732108,917868
101829,113977,90541,129064,323197,483026,732590,918389
101772,113853,90575,128996,323035,481934,732117,917642
101730,113682,90613,128907,322839,481003,732129,917718
101880,114019,90742,129115,323240,481623,732279,918277
101846,114139,90558,129047,323291,481562,732424,917996
101658,113670,90682,128782,322834,480927,732040,917530
101811,113917,90653,128791,323044,481358,732415,918239
101815,114126,90588,129375,323406,481733,732650,918141
101802,113644,90609,128736,322860,479678,732027,917655
101772,113810,90755,128979,322902,479413,732271,917987
101819,114057,90670,128962,323397,479477,732565,918376
101700,113900,90414,128962,323201,478569,732066,917928
101683,113806,90644,128842,322860,477596,732203,918124
101806,113930,90725,129106,323056,477587,732726,918290
101781,114087,90550,128907,323346,477352,732459,918004
101709,113708,90725,128928,322715,475676,732334,917765
101811,113964,90793,129072,323099,475198,732701,918256
101858,114165,90704,129453,323487,475424,732692,918366
101888,113687,90670,128919,322971,473437,732505,917782
101734,113845,90716,129060,323035,471799,732411,918000
101863,114122,90712,129167,323436,471795,732999,918622
101815,113866,90630,129034,323351,469947,732459,917945
101700,113763,90725,128941,322663,466449,732714,917911
101798,114028,90716,129051,323300,437431,734036,918537
101952,114254,90579,129150,323478,425781,734506,918315
101914,113858,90687,128915,322822,424651,734062,918072
102007,114203,90784,129188,323201,423405,734766,918550
102079,114510,90750,129683,323772,423516,734796,918482
102041,113926,90699,128975,323201,422172,734591,917843
101965,114002,90827,129129,323065,422416,734808,918503
102131,114391,90861,129222,323465,422778,735013,918947
101965,114091,90601,128996,323505,421307,734804,918167
102062,114096,90840,129077,323175,420645,734753,918025
102062,114279,90797,129252,323410,420598,734958,918474
102092,114476,90516,129154,323444,420952,735039,918315
102011,113960,90814,129038,323188,476004,732838,917834
101867,114087,90626,128953,323035,479890,732667,918393
101973,114258,90716,129470,323679,481166,732953,918252
101823,113793,90674,128770,322959,480262,732044,917697
101751,113849,90584,128877,323035,481153,732385,917932
101884,114203,90554,129123,323249,482467,732697,918700
101833,113955,90567,129013,323329,482160,732305,918021
101777,113742,90750,128778,322813,482044,731934,917868
101892,114011,90767,129171,323107,483375,732476,918431
101768,114186,90558,129158,323253,483435,732163,917936
101628,113585,90767,128842,322686,482825,731972,917838
101777,113938,90784,128885,323039,483695,732322,918341
101700,114114,90644,129392,323444,484023,732552,918145
101747,113580,90588,128808,322856,482983,731814,917496
101721,113797,90721,129026,322779,483346,732146,918034
101888,114194,90755,129171,323419,484228,732505,918554
101751,113879,90482,128932,323154,483593,732241,917936
101789,113831,90793,128949,322941,482910,732129,917838
101888,114057,90852,129235,323154,483132,732539,918418
101841,114126,90575,129085,323419,482612,732531,917987
101772,113661,90729,128958,322864,481665,732142,917672
101815,113934,90725,128898,323099,481891,732390,918431
101823,114173,90648,129379,323534,482152,732390,918133
101768,113631,90674,128821,322907,479959,732066,917881
101854,113849,90789,129072,322988,479400,732339,918201
101875,114104,90588,129064,323226,478995,732714,918418
101713,113793,90609,128842,323240,478764,732381,917983
101850,113772,90750,128804,322941,478235,732087,917864
101794,114002,90810,129205,323184,478815,732633,918218
101789,114096,90528,129047,323214,478542,732624,918047
101692,113653,90721,128856,322676,478235,732356,917612
101721,113934,90742,128975,323048,478248,732402,918167
101823,114160,90605,129419,323470,478620,732471,918311
101738,113640,90486,128685,322703,477429,732300,917608
101696,113699,90767,129017,322783,477212,732322,918239
101768,114023,90545,129000,323325,476887,732812,918520
101789,113841,90516,128825,323295,476188,732488,917659
101734,113729,90772,128915,322663,473535,732275,917740
101772,114049,90742,129123,323133,471056,732944,918627
101926,114165,90588,129072,323431,474840,732718,917898
101798,113687,90674,128795,322885,475744,732497,917420
101837,113870,90776,128962,323039,477471,732356,918111
101811,114156,90636,129427,323389,477625,732829,918213
101802,113682,90554,128736,322902,474554,732368,917689
101815,113818,90691,128907,323010,476112,732629,918120
101897,114062,90721,128979,323253,479430,732629,918614
101880,113853,90558,128838,323116,476862,732125,917830
101802,113759,90742,128706,322881,474042,732381,917769
101829,113977,90801,129030,323317,471402,732948,918349
101909,114190,90503,129171,323380,475932,732663,918133
101833,113648,90630,128778,322788,477425,732228,917582
101829,113977,90772,128885,323065,478641,732603,918205
101884,114224,90618,129495,323342,478726,732709,918128
101713,113674,90584,128795,322754,477177,732220,917816
101846,113801,90759,129000,322894,476606,732463,917983
101935,114122,90636,129026,323226,476277,732910,918341
101819,113862,90640,128970,323257,473620,732330,917786
101734,113784,90729,128907,322881,470946,732463,917915
101888,114104,90640,129201,323304,469520,733132,918503
101897,114169,90562,129154,323457,478116,732714,918213
101858,113772,90725,128850,322843,480462,732398,917462
101888,114032,90814,129123,323163,482135,732510,918427
101901,114245,90618,129320,323423,482603,732518,918427
101819,113610,90630,128898,322984,480718,732330,917791
101837,113827,90806,128873,322894,480961,732053,917906
101794,114118,90708,129137,323495,481289,732770,918482
101850,113904,90448,128932,323150,479392,732288,917663
101696,113708,90704,128812,322758,478031,732053,918137
101875,114045,90755,129026,323295,476900,732471,918452
101867,114194,90456,129141,323406,473581,732812,918017
101743,113691,90708,128846,322877,463139,732556,917714
101829,113985,90742,129133,323001,444925,733883,918610
101994,114288,90746,129406,323721,439325,733892,918188
101926,113883,90533,128651,322915,435255,733695,917949
101943,114079,90687,129106,323222,434333,734006,918320
102096,114318,90797,129129,323568,433425,734681,918926
102054,114135,90699,129141,323611,431880,734199,918124
102003,114070,90810,128894,322941,430260,734152,918218
102028,114305,90943,129171,323573,445991,734131,918653
102033,114399,90613,129226,323666,428123,734672,918687
101982,113917,90806,129030,323112,424003,734237,917834
102067,114254,90869,129265,323244,424190,734838,918520
102092,114493,90596,129580,323594,425009,734945,918567
102020,113960,90716,128958,323137,476150,732726,917820
101888,114032,90784,129115,323124,481686,732419,918025
101977,114241,90733,129218,323436,483307,732851,918554
101871,113994,90537,128833,323244,483333,732198,917786
101829,113827,90827,128966,322851,482855,732249,917868
101829,114053,90767,129158,323397,483619,732603,918281
101850,114122,90473,129239,323505,483487,732590,918188
101794,113755,90827,128825,322902,482855,732241,917672
101751,113968,90793,129119,323039,484842,732364,918461
101863,114233,90644,129436,323380,486059,732654,918128
101785,113763,90716,128941,323005,485769,732176,917714
101726,113801,90767,128975,322911,486520,732049,917940
101935,114114,90797,129243,323295,487833,732607,918943
101850,113926,90528,128928,323368,486873,732070,917769
101798,113742,90738,128975,322924,486715,731951,917987
101846,114074,90793,129235,323112,487470,732527,918474
101858,114156,90601,129106,323363,487151,732245,918256
101777,113687,90780,128987,322890,485798,732078,917894
101841,113968,90806,129089,323133,486097,732419,918495
101948,114199,90657,129286,323513,486186,732445,918516
101785,113619,90670,128877,322775,484685,732220,917902
101743,113827,90763,129081,323027,484557,732471,918158
101819,114186,90738,129226,323487,484467,732663,918785
101764,113870,90575,128928,323278,482527,732163,918038
101811,113759,90750,128868,322936,479989,732377,918034
101858,114087,90767,129214,323175,474959,732889,918389
101884,114160,90456,128962,323300,478836,732663,918362
101755,113712,90716,128911,322907,482676,732453,917659
101892,113900,90750,129111,322971,485701,732471,918192
101858,114156,90575,129419,323522,487701,732667,918478
101794,113733,90648,128894,322993,487142,732032,917740
101785,113759,90729,128979,322907,487624,732121,918042
101837,114114,90767,129137,323287,488699,732279,918730
101794,113926,90601,129009,323304,488145,732176,917778
101760,113695,90759,128924,322826,487718,731947,917774
101867,114057,90721,129184,323308,488678,732484,918469
101833,114156,90579,129141,323393,488187,732476,918162
101743,113772,90750,128962,322924,487578,732100,917659
101823,113926,90721,129081,323154,488370,732390,918260
101863,114203,90558,129410,323342,488916,732561,918345
101726,113784,90644,128877,322851,487889,732198,917778
101777,113875,90618,129026,322847,487919,732176,917919
101875,114126,90721,129192,323436,488874,732535,918601
101863,114006,90579,129038,323342,488179,732271,917765
101819,113870,90699,128890,322907,487897,731959,917928
101829,114040,90789,129175,323184,488554,732595,918465
101867,114228,90584,129085,323295,487957,732155,918137
101811,113712,90763,128804,323014,487509,731839,917659
101819,114057,90793,129094,323141,488141,732385,918286
101846,114182,90596,129414,323474,488755,732309,918277
101867,113699,90626,128838,322967,487927,732061,917595
101709,113806,90691,128987,322959,488755,732215,918124
101867,114135,90691,129123,323560,489966,732415,918639
